ident;nazwisko;imie;data urodz;laureat;swiadectwo;egzamin;wolontariat;konkursy;profil
1323;Wdbacki;Aulus;27.12.2008;0;70;83;3;0;5
1403;Fobacki;Aulus;22.4.2007;0;65;96;2;23;5
1032;Oibacka;Aurea;25.3.2007;0;63;81;0;0;5
1393;Embacka;Aurea;29.12.2007;0;71;76;2;10;5
1581;Pjbacka;Aurea;6.12.2007;0;62;74;1;19;3
1197;Tnbacka;Aurelia;31.5.2008;0;69;84;3;0;6
1220;Kjbacka;Aurelia;8.5.2008;0;64;76;2;19;7
1240;Rrbacka;Aurelia;11.4.2007;0;69;86;3;13;6
1345;Onbacka;Aurelia;12.10.2008;0;65;69;1;9;10
1784;Mebacka;Aurelia;28.5.2007;0;68;99;0;18;1
1866;Mebacka;Aurelia;28.5.2007;0;69;67;3;21;9
1059;Nubacki;Aurelian;22.5.2007;0;68;68;0;21;8
1465;Bubacki;Aurelian;16.4.2007;0;65;63;1;13;8
1758;Tmbacki;Aurelian;13.9.2007;1;68;86;1;21;5
1880;Nubacki;Aurelian;10.3.2007;0;71;74;2;16;10
1187;Bwbacki;Aureliusz;12.6.2007;0;61;75;1;8;8
1183;Brbacki;Awit;25.12.2007;0;67;84;2;9;5
1787;Dkbacki;Balbin;18.2.2007;0;72;63;0;16;1
1869;Dkbacki;Balbin;16.2.2007;0;60;68;1;0;4
1025;Gnbacki;Barbacy;1.9.2007;0;64;96;2;16;8
1249;Cdbacki;Barbacy;16.1.2008;0;62;66;2;19;4
1448;Nibacki;Barbacy;10.7.2008;0;70;84;2;2;3
1536;Hnbacki;Barbacy;18.6.2007;0;61;88;2;7;5
1238;Rtbacka;Beata;15.4.2007;0;62;100;0;5;9
1241;Wubacka;Beata;31.8.2007;0;65;78;1;16;9
1766;Flbacka;Beata;9.11.2007;0;66;68;1;5;7
1073;Nubacka;Benigna;7.3.2008;0;68;95;3;24;10
1206;Hobacka;Benigna;29.10.2007;0;71;83;2;22;6
1208;Mcbacka;Benigna;2.12.2007;0;68;66;3;14;3
1507;Htbacka;Benigna;26.4.2007;0;61;67;1;15;3
1894;Nubacka;Benigna;30.1.2007;0;71;88;3;19;1
1239;Mdbacka;Bibiana;1.6.2007;0;64;79;2;9;9
1468;Dbbacka;Bibiana;6.4.2007;0;66;73;1;15;6
1556;Gkbacka;Bibiana;22.11.2007;0;62;77;2;22;10
1078;Tibacka;Blandyna;8.3.2007;1;64;63;3;16;8
1161;Sobacka;Blandyna;8.9.2007;1;64;85;1;1;10
1540;Kkbacka;Blandyna;18.2.2007;0;69;95;2;14;5
1899;Tibacka;Blandyna;11.2.2008;0;68;64;3;4;8
1327;Nmbacki;B³a¿ej;17.7.2007;0;62;79;1;16;7
1359;Stbacki;B³a¿ej;25.7.2007;0;69;64;1;17;6
1588;Krbacki;B³a¿ej;16.12.2007;0;70;83;1;10;7
1687;Eubacki;B³a¿ej;16.4.2007;0;61;80;1;10;3
1341;Ulbacka;B³a¿eja;26.9.2007;0;65;71;1;19;7
1261;Apbacki;Bonet;31.1.2007;0;69;89;2;6;7
1708;Blbacki;Bonet;21.6.2007;0;61;63;1;18;8
1845;Trbacki;Bonet;31.1.2008;0;60;92;1;14;4
1486;Debacki;Bonifacy;8.10.2007;0;70;69;1;0;7
1096;Ldbacki;Bonit;21.6.2008;0;67;75;1;13;3
1602;Aebacki;Bonit;20.9.2007;0;68;60;2;5;6
1724;Glbacki;Bonit;16.6.2008;0;69;68;2;2;6
1462;Nlbacka;Bonita;4.2.2007;0;71;68;1;21;8
1735;Mgbacka;Bonita;6.4.2007;0;69;86;1;14;2
1212;Erbacki;Cecylian;7.6.2007;0;61;83;3;21;9
1219;Wnbacki;Cecylian;16.12.2007;0;61;91;0;3;7
1270;Cjbacki;Cecylian;11.10.2008;0;71;66;1;16;2
1385;Lnbacki;Cecylian;23.2.2007;0;65;88;2;1;4
1807;Mubacki;Cecylian;11.2.2007;0;67;88;0;6;8
1267;Skbacki;Celestyn;16.2.2007;0;64;71;1;0;9
1745;Bsbacka;Celestyna;1.3.2008;0;66;69;1;20;1
1549;Efbacka;Celina;13.2.2008;0;70;63;2;11;1
1576;Tkbacki;Cezary;16.8.2007;0;60;74;2;9;9
1747;Gebacki;Cyprian;10.3.2008;0;63;97;1;7;10
1762;Kbbacki;Cyprian;23.7.2007;1;61;93;1;3;6
1062;Knbacki;Dacjan;3.3.2007;0;67;76;3;13;1
1604;Wcbacki;Dacjan;26.11.2007;1;64;94;0;19;5
1785;Ndbacki;Dacjan;1.11.2007;0;64;98;2;23;10
1867;Ndbacki;Dacjan;1.11.2007;1;64;91;2;14;9
1883;Knbacki;Dacjan;10.3.2007;0;63;94;3;16;10
1186;Ambacka;Dalia;26.7.2007;0;62;86;3;18;4
1342;Phbacka;Dalia;17.10.2007;0;64;81;2;3;3
1379;Brbacka;Dalia;16.5.2007;0;65;76;1;13;9
1792;Gcbacka;Dalia;11.7.2007;0;71;74;0;20;7
1838;Krbacka;Dalia;26.7.2007;0;69;77;1;9;2
1874;Gcbacka;Dalia;10.7.2008;0;63;74;1;14;4
1573;Mubacka;Dezyderia;7.3.2008;0;64;84;1;9;3
1660;Afbacka;Dezyderia;5.4.2007;0;71;90;2;18;9
1716;Sbbacka;Dezyderia;25.2.2007;0;61;82;1;6;5
1143;Dobacki;Dezyderiusz;7.4.2007;0;65;98;1;9;4
1416;Afbacki;Dezyderiusz;13.8.2007;0;64;76;1;8;7
1805;Mubacki;Dezyderiusz;24.12.2007;0;67;80;1;15;7
1145;Oubacka;Diana;23.1.2008;0;61;76;0;22;1
1561;Usbacka;Diana;24.11.2007;0;62;96;1;2;7
1036;Rubacki;Dominik;21.4.2007;0;69;78;1;6;7
1284;Rlbacki;Dominik;6.3.2007;0;60;89;3;0;1
1368;Cjbacka;Dominika;10.6.2007;0;67;82;0;12;10
1388;Rbbacka;Dominika;3.9.2007;0;65;93;2;6;4
1439;Dfbacka;Dominika;17.11.2007;0;69;95;2;7;5
1046;Glbacka;Domna;23.2.2008;0;61;63;2;11;2
1148;Akbacka;Domna;24.3.2008;0;71;86;2;17;9
1834;Wmbacka;Domna;4.7.2007;1;63;62;2;19;6
1001;Ttbacki;Donat;24.5.2007;0;66;62;3;24;2
1256;Fwbacki;Donat;19.10.2007;0;66;90;3;9;1
1652;Tabacki;Donat;1.8.2007;0;71;91;0;6;5
1571;Dlbacka;Donata;5.12.2008;0;72;71;0;13;1
1099;Webacki;Dorian;19.2.2008;0;61;63;0;8;9
1322;Arbacki;Dorian;15.7.2008;1;72;97;3;4;5
1629;Rcbacki;Dorian;18.8.2007;0;71;76;2;12;10
1764;Abbacki;Dorian;11.7.2007;0;61;70;1;3;1
1847;Bmbacka;Doriana;15.7.2008;0;70;86;1;23;8
1049;Ujbacki;Druzjan;9.5.2008;0;64;82;2;24;7
1124;Ofbacki;Druzjan;5.2.2008;0;64;94;1;18;1
1199;Mrbacki;Druzjan;22.4.2008;1;66;84;3;10;5
1519;Gjbacka;Druzjanna;7.8.2007;0;66;73;2;14;7
1532;Ttbacka;Druzjanna;27.6.2007;0;63;73;1;5;10
1667;Knbacka;Druzjanna;11.2.2007;0;63;72;2;13;10
1131;Lsbacka;Eligia;22.9.2007;0;62;96;1;7;7
1277;Adbacka;Eligia;27.7.2007;1;70;92;3;24;6
1434;Pkbacka;Eligia;29.3.2007;0;71;84;0;7;5
1034;Wabacki;Eligiusz;4.9.2007;0;64;84;2;1;9
1326;Cdbacka;Emerencja;19.2.2007;0;65;74;2;19;4
1372;Smbacka;Emerencja;10.8.2008;0;65;79;2;14;9
1304;Pabacki;Emil;5.4.2007;0;72;63;2;16;8
1606;Twbacki;Emil;11.11.2007;0;70;69;1;5;2
1305;Btbacka;Emilia;16.10.2007;0;68;67;2;24;5
1661;Oobacka;Emilia;12.6.2007;0;68;92;2;13;10
1247;Ugbacki;Emilian;1.10.2008;0;68;99;2;0;9
1399;Fabacki;Emilian;22.11.2008;0;70;69;1;4;5
1017;Mabacka;Fabia;8.2.2007;0;67;84;1;21;3
1026;Urbacka;Fabia;26.4.2007;0;72;84;2;23;8
1082;Pdbacka;Fabia;6.3.2007;0;61;100;2;7;5
1903;Pdbacka;Fabia;9.3.2007;0;71;78;0;0;6
1553;Unbacki;Fabian;24.11.2007;0;70;90;0;19;6
1702;Prbacki;Fabian;16.7.2007;0;62;98;3;5;9
1221;Dfbacki;Faust;24.7.2008;0;61;79;0;15;6
1308;Klbacki;Faust;15.12.2007;0;67;87;1;3;3
1316;Gdbacka;Fausta;22.11.2007;0;62;73;0;22;1
1423;Aibacka;Fausta;16.10.2008;0;63;100;0;21;10
1830;Eebacki;Faustyn;17.10.2007;0;71;72;2;19;4
1338;Bgbacka;Fawila;22.2.2007;0;61;90;2;0;7
1738;Ugbacka;Fawila;10.11.2007;0;69;73;1;10;2
1756;Krbacka;Fawila;30.9.2007;0;61;76;2;18;2
1418;Edbacka;Felicja;26.6.2007;0;64;66;2;1;6
1449;Tmbacka;Felicja;30.6.2008;0;70;87;2;22;2
1150;Cibacki;Felicjan;4.6.2007;1;71;92;0;19;6
1775;Lkbacka;Felicjana;19.5.2007;0;65;69;1;13;1
1235;Bfbacka;Felicyta;29.6.2007;0;66;61;2;19;3
1432;Dcbacka;Felicyta;12.7.2007;0;68;85;2;24;5
1181;Hebacki;Feliks;21.12.2007;0;70;91;1;14;7
1515;Eibacki;Feliks;23.1.2007;0;62;96;3;20;4
1047;Whbacka;Feliksa;14.5.2008;0;67;98;2;23;1
1093;Hibacka;Feliksa;20.8.2007;0;64;86;1;23;6
1701;Tfbacka;Feliksa;14.5.2007;0;66;71;3;15;1
1441;Sgbacki;Fereol;8.7.2007;0;64;81;1;8;6
1596;Lmbacki;Fereol;10.8.2008;0;70;66;1;9;7
1029;Lebacki;Fidelis;19.3.2007;0;70;69;2;2;1
1300;Dsbacki;Fidelis;23.8.2007;0;62;85;1;2;1
1541;Awbacki;Fidelis;9.1.2007;0;69;89;1;8;7
1552;Fcbacka;Flawia;21.2.2007;0;64;91;0;20;7
1644;Wpbacka;Flawia;20.11.2007;0;67;69;2;17;4
1752;Wmbacka;Flawia;25.1.2007;0;67;83;1;5;4
1140;Mnbacki;Flawiusz;3.1.2007;1;70;73;1;6;10
1196;Wrbacki;Flawiusz;13.4.2008;0;60;77;2;16;3
1443;Oobacki;Flawiusz;22.6.2007;0;64;98;2;15;9
1511;Kabacki;Flawiusz;25.9.2007;0;70;94;2;13;2
1808;Mubacki;Flawiusz;19.11.2007;1;68;87;2;21;9
1081;Sfbacka;Flora;24.10.2007;0;64;64;0;10;8
1533;Kibacka;Flora;2.1.2007;0;70;97;1;8;1
1717;Bdbacka;Flora;12.9.2007;0;62;89;2;13;5
1902;Sfbacka;Flora;20.1.2007;0;71;80;2;14;7
1770;Elbacki;Florencjusz;15.2.2008;0;61;84;1;0;3
1356;Orbacki;Florentyn;23.8.2007;0;65;72;1;17;4
1420;Fbbacki;Florentyn;17.12.2008;0;70;70;3;13;4
1679;Lhbacki;Florentyn;1.11.2007;1;68;65;1;12;3
1778;Ljbacki;Florentyn;28.12.2007;0;64;70;2;10;2
1860;Ljbacki;Florentyn;28.12.2007;1;65;71;2;0;6
1436;Ffbacka;Florentyna;29.1.2007;0;64;100;0;4;7
1742;Pubacka;Florentyna;5.7.2007;0;61;90;1;2;5
1788;Tubacka;Florentyna;10.3.2007;0;62;69;0;23;6
1790;Nebacka;Florentyna;21.2.2007;1;61;89;3;20;2
1870;Tubacka;Florentyna;9.3.2008;0;67;73;1;0;10
1872;Nebacka;Florentyna;21.2.2008;0;68;88;1;20;1
1126;Flbacki;Florian;18.9.2007;0;66;95;1;17;7
1454;Dibacki;Florian;16.5.2007;0;71;67;1;16;2
1097;Cmbacka;Florianna;11.9.2008;0;69;64;1;15;1
1098;Mfbacka;Florianna;23.10.2008;0;68;95;0;6;8
1152;Cbbacka;Florianna;26.7.2007;0;61;89;1;11;6
1159;Hdbacka;Florianna;1.8.2007;0;70;90;0;11;5
1192;Hkbacka;Florianna;21.11.2007;0;60;71;2;12;2
1512;Bpbacka;Florianna;10.4.2007;0;61;63;3;19;6
1696;Rmbacka;Florianna;11.10.2008;0;60;86;1;16;7
1151;Tcbacki;Floryn;26.7.2007;0;70;91;0;17;1
1268;Lfbacki;Floryn;16.4.2007;0;68;88;3;21;4
1353;Bibacki;Floryn;20.2.2007;0;68;100;2;22;1
1567;Albacki;Floryn;20.3.2007;0;63;97;2;22;9
1749;Btbacki;Floryn;2.2.2008;0;69;80;2;1;6
1156;Lfbacka;Floryna;12.5.2007;0;67;77;0;11;3
1218;Kwbacka;Floryna;22.6.2007;0;62;81;3;21;6
1678;Lrbacka;Floryna;23.5.2007;0;69;64;2;5;8
1837;Hlbacka;Floryna;20.3.2007;0;64;68;2;4;6
1763;Trbacki;Fortunat;25.11.2007;0;63;89;2;16;4
1129;Lpbacka;Fortunata;24.7.2007;0;68;90;1;17;4
1366;Ahbacka;Fortunata;21.4.2007;1;71;83;1;2;9
1544;Umbacka;Fortunata;25.6.2007;1;70;61;3;21;2
1613;Olbacka;Fortunata;4.11.2007;0;69;90;2;17;3
1828;Nwbacka;Fortunata;21.4.2007;0;66;64;0;9;2
1134;Bebacki;Fotyn;4.11.2007;0;63;93;2;4;2
1234;Wmbacki;Fotyn;22.9.2007;1;68;99;3;13;7
1389;Mkbacki;Fotyn;3.3.2007;0;69;75;0;23;9
1452;Cnbacki;Fotyn;5.7.2007;0;69;76;1;8;8
1748;Eebacki;Fotyn;19.3.2008;0;66;62;0;1;4
1796;Uebacki;Fotyn;18.8.2008;0;70;88;2;18;5
1809;Mubacki;Fotyn;17.12.2007;0;67;92;2;9;4
1086;Fjbacka;Fotyna;11.7.2007;0;63;96;3;19;5
1521;Tabacka;Fotyna;15.10.2008;0;70;74;1;22;2
1639;Enbacka;Fotyna;31.7.2007;0;68;63;0;22;4
1765;Bmbacka;Fotyna;24.2.2007;0;65;87;2;8;5
1907;Fjbacka;Fotyna;15.1.2007;0;65;90;1;24;10
1043;Oabacka;Gaja;11.5.2007;0;68;76;2;8;7
1231;Ombacka;Gaja;16.5.2007;0;65;61;3;6;1
1272;Rsbacka;Gaja;15.11.2008;0;70;90;2;20;6
1111;Bnbacka;Gajana;31.12.2007;0;64;61;1;12;1
1637;Eibacka;Gajana;18.11.2007;0;65;83;2;10;4
1306;Thbacka;Galla;11.4.2007;0;71;96;1;22;8
1057;Mobacki;Gaudencjusz;1.11.2007;0;61;89;3;3;2
1352;Pjbacki;Gaudencjusz;2.10.2007;1;65;83;3;12;1
1878;Mobacki;Gaudencjusz;28.2.2007;0;61;83;2;22;4
1450;Ocbacki;Gaudenty;6.4.2007;0;72;76;3;6;6
1731;Dubacki;Gaudenty;26.8.2007;0;71;98;1;20;1
1810;Pobacki;Gaudenty;20.1.2007;0;68;77;2;11;9
1627;Srbacki;Gawe³;3.3.2007;0;61;82;0;21;1
1413;Bhbacki;German;25.10.2007;0;61;80;1;19;8
1672;Hwbacki;German;5.1.2008;0;72;72;2;19;8
1301;Csbacka;Gloria;17.12.2007;0;67;87;1;10;5
1374;Hsbacka;Gloria;15.8.2008;0;61;87;3;6;3
1531;Dgbacka;Gloria;15.2.2007;1;66;64;2;22;1
1585;Rnbacka;Gordiana;29.4.2007;0;61;65;0;23;7
1007;Subacka;Gracja;14.6.2007;0;63;66;1;4;2
1090;Utbacka;Gracja;14.4.2007;0;62;100;2;5;6
1121;Hfbacka;Gracja;21.1.2008;0;68;97;2;9;6
1649;Awbacka;Gracja;20.7.2008;0;65;95;1;22;3
1911;Utbacka;Gracja;10.1.2007;0;65;62;3;17;9
1779;Tgbacki;Gracjan;26.12.2007;0;63;93;2;20;5
1861;Tgbacki;Gracjan;26.12.2007;0;67;64;1;4;1
1103;Gabacki;Gratus;11.12.2007;0;71;95;2;12;2
1347;Mtbacki;Hadrian;12.6.2008;0;67;66;3;20;9
1074;Nmbacka;Hadrianna;10.3.2008;0;70;65;1;0;7
1243;Labacka;Hadrianna;13.8.2007;0;64;62;2;5;10
1494;Hrbacka;Hadrianna;27.6.2007;0;68;87;2;2;7
1545;Mrbacka;Hadrianna;13.11.2008;1;67;97;2;15;10
1578;Slbacka;Hadrianna;31.7.2007;0;72;60;0;19;7
1590;Lcbacka;Hadrianna;14.8.2007;0;66;75;0;18;7
1895;Nmbacka;Hadrianna;18.6.2008;1;61;81;1;19;1
1010;Kebacka;Herenia;9.9.2007;0;68;83;1;24;2
1114;Dpbacka;Hilaria;11.6.2007;0;65;63;3;2;9
1360;Srbacka;Hilaria;14.6.2007;0;71;95;0;10;7
1430;Bhbacka;Hilaria;20.5.2007;0;61;97;2;8;5
1433;Ghbacka;Hilaria;16.2.2007;0;67;60;1;19;9
1583;Bcbacka;Hilaria;19.10.2007;0;61;93;0;1;3
1015;Hbbacki;Honorat;12.11.2007;0;63;73;0;9;10
1135;Ufbacka;Honorata;2.3.2007;0;66;70;0;11;7
1200;Swbacka;Honorata;8.10.2007;0;67;63;1;21;6
1226;Kmbacka;Honorata;12.6.2007;0;64;82;2;4;1
1391;Eobacka;Honorata;27.8.2007;0;60;92;1;14;5
1487;Ohbacka;Honorata;5.8.2007;0;69;84;0;22;9
1222;Grbacki;Honoriusz;24.5.2008;0;65;66;1;0;2
1307;Wfbacki;Honoriusz;11.2.2007;0;64;99;0;21;3
1673;Onbacki;Honoriusz;14.7.2008;0;63;95;3;21;5
1285;Oabacki;Honoryn;17.8.2007;1;62;63;3;13;1
1595;Mlbacki;Honoryn;12.12.2008;0;68;88;3;22;7
1610;Plbacki;Honoryn;15.5.2007;0;63;71;1;21;10
1012;Dmbacka;Honoryna;8.2.2007;0;65;92;3;0;6
1170;Pfbacka;Honoryna;29.1.2008;0;71;85;1;7;9
1292;Babacka;Honoryna;21.5.2007;0;64;96;1;10;8
1537;Clbacka;Honoryna;20.9.2007;0;64;100;2;22;8
1006;Tubacki;Horacjusz;19.6.2007;0;64;76;1;3;5
1060;Ddbacki;Horacy;26.1.2007;0;64;71;1;20;8
1722;Sjbacki;Horacy;13.10.2008;0;61;90;3;15;10
1736;Sdbacki;Horacy;31.8.2007;0;68;74;2;14;10
1881;Ddbacki;Horacy;23.5.2007;0;64;94;0;14;8
1591;Ssbacka;Hortensja;18.4.2007;0;60;72;1;7;8
1375;Rgbacki;Hortensjusz;17.8.2007;0;69;77;2;3;4
1543;Ssbacki;Hortensjusz;2.8.2007;0;69;92;2;15;4
1697;Cwbacki;Hortensjusz;15.12.2008;0;67;71;3;3;3
1310;Rrbacki;Hospicjusz;27.3.2007;1;66;93;1;4;8
1854;Ncbacki;Humbelin;5.10.2007;0;72;60;1;5;8
1725;Sibacka;Humbelina;15.8.2007;0;66;94;1;13;6
1729;Gnbacka;Humbelina;26.2.2007;0;71;79;2;24;9
1858;Lhbacka;Humbelina;26.2.2007;0;63;73;1;9;8
1008;Gtbacka;Ignacja;4.1.2007;0;63;67;2;4;8
1811;Ochadzka;Imperia;6.11.2007;1;65;82;2;18;9
1100;Mmbacka;Innocencja;27.5.2007;0;67;89;1;15;7
1631;Blbacka;Innocencja;12.10.2007;0;72;73;1;19;10
1730;Sebacka;Innocencja;13.10.2007;0;66;65;0;7;6
1859;Fbbacka;Innocencja;17.2.2007;0;71;95;3;7;9
1223;Nhbacka;Innocenta;4.10.2008;0;65;74;2;22;8
1120;Msbacka;Innocentyna;20.7.2008;0;64;85;2;15;10
1303;Lbbacka;Innocentyna;18.8.2007;0;71;79;1;1;4
1295;Wbbacka;Izaura;3.8.2008;0;67;93;3;4;6
1424;Kabacka;Izaura;11.12.2008;0;68;91;0;6;3
1812;Ochadzka;Izaura;14.1.2007;0;63;78;2;18;10
1019;Rfbacki;January;27.3.2007;0;61;64;0;17;3
1052;Rbbacki;January;31.12.2007;0;70;85;1;2;1
1083;Fubacki;January;14.8.2007;0;62;80;2;7;9
1258;Hgbacki;January;5.8.2007;0;66;66;2;3;10
1904;Fubacki;January;14.1.2007;1;61;68;2;10;6
1459;Orbacka;Julia;6.5.2007;0;69;92;2;7;7
1655;Debacka;Julia;18.2.2007;0;68;88;3;24;1
1023;Rabacki;Julian;18.6.2008;0;69;87;1;9;5
1048;Tsbacki;Julian;10.6.2008;0;61;83;3;24;7
1645;Kmbacki;Julian;15.11.2008;0;71;63;3;16;9
1363;Uhbacka;Julianna;8.3.2007;0;62;77;0;8;3
1500;Lubacka;Julianna;9.12.2007;1;67;91;1;8;9
1562;Webacka;Julianna;15.1.2007;0;65;83;1;1;1
1469;Hwbacka;Julita;13.7.2007;0;72;73;2;20;9
1471;Frbacka;Julita;10.5.2008;0;68;95;1;20;5
1522;Ucbacka;Julita;21.4.2008;0;66;80;2;20;9
1242;Labacki;Juliusz;29.11.2007;0;63;70;2;8;6
1419;Gbbacki;Juliusz;2.3.2007;0;66;94;3;20;6
1813;Pobacki;Juliusz;30.8.2007;0;70;86;1;5;6
1071;Hmbacki;Juniusz;16.3.2008;0;62;70;2;14;5
1245;Sabacki;Juniusz;13.7.2008;0;67;79;3;17;2
1376;Oubacki;Juniusz;22.7.2007;0;70;77;2;3;10
1726;Aobacki;Juniusz;20.6.2007;1;65;69;2;3;1
1843;Mmbacki;Juniusz;20.6.2007;0;61;68;1;15;8
1855;Dwbacki;Juniusz;20.6.2007;0;69;84;2;7;5
1892;Hmbacki;Juniusz;17.1.2007;1;65;77;1;8;9
1227;Nobacki;Justyn;17.6.2007;0;68;65;0;1;10
1317;Ngbacki;Justyn;20.12.2007;0;66;65;2;7;9
1331;Cubacki;Justyn;29.6.2007;0;61;76;0;10;6
1414;Dcbacki;Justyn;25.5.2007;0;62;79;2;16;9
1400;Gobacka;Justyna;24.8.2007;0;69;75;3;2;6
1490;Khbacka;Justyna;17.3.2007;0;68;66;0;4;2
1348;Smbacki;Justynian;11.1.2008;0;68;74;1;3;7
1382;Owbacki;Justynian;3.1.2007;1;64;80;0;17;7
1630;Hrbacki;Juwenalis;24.11.2007;0;65;71;1;1;9
1369;Ogbacka;Juwencja;1.11.2007;0;69;63;0;14;1
1607;Drbacka;Juwencja;29.9.2007;0;64;65;2;20;10
1075;Ocbacka;Kaja;15.10.2007;1;65;83;1;19;2
1215;Tpbacka;Kaja;5.11.2007;0;67;83;2;1;8
1406;Cabacka;Kaja;28.2.2007;0;63;92;2;6;6
1589;Dhbacka;Kaja;7.6.2007;0;69;60;2;14;8
1814;Ochadzka;Kaja;25.1.2007;0;62;100;2;24;8
1896;Ocbacka;Kaja;16.7.2008;0;60;72;1;0;1
1592;Rpbacki;Kajetan;12.7.2007;0;63;99;2;18;2
1806;Mubacki;Kalasanty;28.12.2007;0;68;69;2;10;6
1203;Kfbacki;Kamil;22.12.2007;0;67;76;3;8;9
1040;Ewbacka;Kamila;2.10.2007;0;63;86;2;13;10
1472;Epbacka;Kamila;12.2.2008;0;65;92;3;6;5
1516;Tdbacka;Kamila;23.1.2007;0;62;76;3;0;3
1473;Crbacki;Kancjan;21.9.2008;1;66;100;2;21;3
1504;Cbbacki;Kancjan;12.8.2007;0;65;71;1;24;6
1635;Tbbacki;Kancjan;29.1.2007;0;68;79;0;9;1
1259;Djbacka;Kancjanela;19.12.2007;0;63;74;2;20;7
1574;Osbacka;Kancjanela;2.1.2008;0;63;63;1;21;1
1603;Aabacka;Kancjanela;6.6.2007;0;69;64;1;22;2
1505;Clbacki;Kancjusz;24.12.2007;0;65;69;2;10;3
1608;Ogbacki;Kancjusz;28.9.2007;0;62;94;3;24;6
1334;Wrbacka;Kandyda;11.9.2007;0;66;61;1;2;2
1463;Rpbacka;Kandyda;17.12.2007;0;66;95;1;8;5
1643;Bkbacka;Kandyda;16.8.2007;0;69;94;2;11;8
1421;Nsbacka;Kasjana;5.7.2008;0;60;75;1;6;7
1569;Bjbacka;Kasjana;10.10.2007;0;71;97;2;3;1
1599;Fsbacka;Kasjana;23.12.2008;0;63;100;0;21;7
1769;Tebacka;Kasjana;22.4.2007;0;70;91;1;5;10
1190;Pebacki;Kasjusz;1.8.2007;0;61;83;3;17;8
1204;Kdbacki;Katerw;28.11.2007;0;68;96;2;20;2
1039;Npbacka;Klara;3.2.2007;0;69;75;0;22;1
1563;Bubacka;Klara;1.6.2007;0;62;62;0;6;2
1257;Grbacka;Klarysa;9.9.2007;0;61;84;1;23;2
1623;Aobacka;Klarysa;5.7.2008;0;64;80;2;23;4
